ID,employee_id,camera_no,confidence,name,time,branch_id,status
5249,2011121102,0,0.62,,2024-05-08 09:07:09,,0
5250,2010030801,1,0.61,,2024-05-08 09:09:55,,0
5251,2017011201,1,0.63,,2024-05-08 09:12:02,,0
5252,2019032701,1,0.69,,2024-05-08 09:14:40,,0
5253,2017010801,1,0.63,,2024-05-08 09:28:01,,0
5254,2012031803,1,0.64,,2024-05-08 09:31:06,,0
5255,2011031401,1,0.61,,2024-05-08 09:31:12,,0
5256,2010022405,1,0.63,,2024-05-08 09:35:50,,0
5257,202317s,1,0.62,,2024-05-08 09:36:50,,0
5259,2010072604,1,0.64,,2024-05-08 09:37:51,,0
5260,2014052002,1,0.62,,2024-05-08 09:37:55,,0
5261,2014071301,1,0.75,,2024-05-08 09:41:01,,0
5262,2007121702,1,0.65,,2024-05-08 09:41:15,,0
5263,2022081101,1,0.67,,2024-05-08 09:41:58,,0
5265,2011031002,1,0.6,,2024-05-08 09:42:34,,0
5266,2022051213,1,0.67,,2024-05-08 09:44:34,,0
5267,2012013001,1,0.61,,2024-05-08 09:46:11,,0
5268,2022100301,1,0.61,,2024-05-08 09:47:34,,0
5269,2013051217,1,0.69,,2024-05-08 09:49:32,,0
5270,2019082520,1,0.62,,2024-05-08 09:58:38,,0
5271,2017100202,1,0.67,,2024-05-08 09:58:45,,0
5272,2016122202,1,0.66,,2024-05-08 09:59:13,,0
5273,2012090201,1,0.69,,2024-05-08 10:17:41,,0
5274,2005101602,0,0.65,,2024-05-08 12:17:57,,0
5276,2012062619,0,0.62,,2024-05-08 12:52:02,,0
5278,2002021403,0,0.66,,2024-05-08 13:24:19,,0
